,fips,county_x,state_x,state_code_x,male,female,median_age,population,female_percentage,lat_x,long_x,Areaname,LND010200D,county_y,state_y,lat_y,long_y,date,cases,state_code_y,deaths,population_density,case_ratio,log_popl_density,CoSt,St,ICUBeds,BedsPC,StaffPC,FoodInsc,state,county,candidate,party,total_votes,won,votes,DEM_fraction
0,1001,Autauga County,Alabama,AL,10.198914555435355,10.251535389774341,37.8,10.918718232265187,51.31521739130434,32.53492293292812,-86.64273013739468,"Autauga, AL",604.45,Autauga,Alabama,32.53952745,-86.64408227,2021-02-14,8.70334075304372,AL,84,91.32269004880469,0.10911231884057972,4.514399278617185,Autauga County,AL,1.5650845800732873,6.50794474067209,6.942736246060957,13.4,Alabama,Autauga County,Joe Biden,DEM,7503,False,27770,0.27018365142239825
1,1003,Baldwin County,Alabama,AL,11.524735451729587,11.579826817421987,42.8,12.245807649490187,51.3769359031652,30.72747876693927,-87.72256353282204,"Baldwin, AL",2026.93,Baldwin,Alabama,30.72774991,-87.72207058,2021-02-14,9.857705359881,AL,252,102.6710345201857,0.0918037355783323,4.631530037428276,Baldwin County,AL,2.5755095769013945,6.437728393361795,6.587787310431475,12.3,Alabama,Baldwin County,Joe Biden,DEM,24578,False,109679,0.22409029987509005
2,1005,Barbour County,Alabama,AL,9.524932109734822,9.399720293137584,39.9,10.15743185300305,46.87378791404856,31.869581438362317,-85.39320978902569,"Barbour, AL",904.52,Barbour,Alabama,31.868263,-85.3871286,2021-02-14,7.621684998724611,AL,48,28.503515676823067,0.07920254441082926,3.350027436748257,Barbour County,AL,1.4953487812212205,5.886816989100092,6.788032860615127,23.2,Alabama,Barbour County,Joe Biden,DEM,4816,False,10518,0.45788172656398557
3,1007,Bibb County,Alabama,AL,9.405249044275608,9.247154345098899,39.9,10.022469868767994,46.05584409819328,32.998628228925845,-87.12647507182314,"Bibb, AL",626.16,Bibb,Alabama,32.99642064,-87.12511459999996,2021-02-14,7.781138509845015,AL,57,35.97642775009582,0.10631686420739557,3.5828639392714106,Bibb County,AL,0.0,6.489552241144237,6.825590316931842,15.8,Alabama,Bibb County,Joe Biden,DEM,1986,False,9595,0.20698280354351226
4,1009,Blount County,Alabama,AL,10.255340891195644,10.282300629646866,40.8,10.962058791667054,50.67395264116576,33.98086883066284,-86.56738039931867,"Blount, AL",650.6,Blount,Alabama,33.98210918,-86.56790593,2021-02-14,8.692993531219926,AL,121,88.60282815862281,0.1034087952120739,4.484163777627804,Blount County,AL,1.5650845800732873,7.279508470106487,7.7492534927666075,11.0,Alabama,Blount County,Joe Biden,DEM,2640,False,27588,0.09569377990430622
5,1011,Bullock County,Alabama,AL,8.641709066113805,8.452974619089586,39.6,9.244935016740682,45.29559505409583,32.10052546439408,-85.71567933028645,"Bullock, AL",626.06,Bullock,Alabama,32.10030533,-85.71265535,2021-02-14,7.040536390215956,AL,32,16.53515637478836,0.11031684698608965,2.8054888035882124,Bullock County,AL,0.0,5.169924969821406,5.876708173152465,26.0,Alabama,Bullock County,Joe Biden,DEM,3446,True,4613,0.7470192933015392
6,1013,Butler County,Alabama,AL,9.145054905277552,9.273972232220956,40.7,9.90473677193656,53.21847690387016,31.752429155671948,-86.68027562242744,"Butler, AL",777.92,Butler,Alabama,31.75300095,-86.68057478,2021-02-14,7.550661243105336,AL,64,25.741721513780337,0.0949812734082397,3.2481130808088023,Butler County,AL,1.6265765616977856,5.6523917082475865,6.143502605046837,21.7,Alabama,Butler County,Joe Biden,DEM,3965,False,9488,0.4178962900505902
7,1015,Calhoun County,Alabama,AL,10.920799398469011,10.998476618586784,39.7,11.653539218364394,51.94095466472049,33.771415664670144,-85.82603921906548,"Calhoun, AL",612.32,Calhoun,Alabama,33.77483727,-85.82630386,2021-02-14,9.449357272446683,AL,263,187.97034230467727,0.11034075309736051,5.236284196687001,Calhoun County,AL,2.213363839400643,5.485513852611826,5.647651875732772,16.7,Alabama,Calhoun County,Joe Biden,DEM,15216,False,50983,0.29845242531824334
8,1017,Chambers County,Alabama,AL,9.696278864234223,9.773891264365055,43.0,10.428985016533987,51.939336604978415,32.91434535110719,-85.39203021569158,"Chambers, AL",603.11,Chambers,Alabama,32.91360079,-85.39072749,2021-02-14,8.108021221376747,AL,94,56.08595446933395,0.09817891562703246,4.026885415216333,Chambers County,AL,0.0,5.702941540594166,0.0,19.5,Alabama,Chambers County,Joe Biden,DEM,6365,False,15284,0.41644857367181365
9,1019,Cherokee County,Alabama,AL,9.458761730474661,9.47523988153072,45.9,10.16018192736142,50.41194445518895,34.17590465311609,-85.60380095916831,"Cherokee, AL",599.95,Cherokee,Alabama,34.17805983,-85.60638968,2021-02-14,7.463936604468925,AL,37,43.09192432702725,0.06745832205159943,3.7633356089510217,Cherokee County,AL,0.0,6.061379214168729,6.348478320307399,12.5,Alabama,Cherokee County,Joe Biden,DEM,1624,False,12301,0.13202178684659785
