,state,county,candidate,party,total_votes,won,votes,DEM_fraction
27999,Alabama,Autauga County,Joe Biden,DEM,7503,False,27770,0.27018365142239825
28043,Alabama,Baldwin County,Joe Biden,DEM,24578,False,109679,0.22409029987509005
28087,Alabama,Barbour County,Joe Biden,DEM,4816,False,10518,0.45788172656398557
28131,Alabama,Bibb County,Joe Biden,DEM,1986,False,9595,0.20698280354351226
28175,Alabama,Blount County,Joe Biden,DEM,2640,False,27588,0.09569377990430622
28210,Alabama,Bullock County,Joe Biden,DEM,3446,True,4613,0.7470192933015392
28215,Alabama,Butler County,Joe Biden,DEM,3965,False,9488,0.4178962900505902
28219,Alabama,Calhoun County,Joe Biden,DEM,15216,False,50983,0.29845242531824334
28223,Alabama,Chambers County,Joe Biden,DEM,6365,False,15284,0.41644857367181365
27959,Alabama,Cherokee County,Joe Biden,DEM,1624,False,12301,0.13202178684659785
27963,Alabama,Chilton County,Joe Biden,DEM,3073,False,19310,0.1591403417918177
27967,Alabama,Choctaw County,Joe Biden,DEM,3127,False,7464,0.41894426580921756
27971,Alabama,Clarke County,Joe Biden,DEM,5755,False,13135,0.4381423677198325
27975,Alabama,Clay County,Joe Biden,DEM,1267,False,6930,0.18282828282828284
27979,Alabama,Cleburne County,Joe Biden,DEM,675,False,7227,0.09339975093399751
27983,Alabama,Coffee County,Joe Biden,DEM,5076,False,22275,0.22787878787878788
27987,Alabama,Colbert County,Joe Biden,DEM,8343,False,27886,0.2991823854263788
27991,Alabama,Conecuh County,Joe Biden,DEM,2966,False,6441,0.46048750194069243
27995,Alabama,Coosa County,Joe Biden,DEM,1796,False,5479,0.3277970432560686
28003,Alabama,Covington County,Joe Biden,DEM,2721,False,17430,0.15611015490533564
28007,Alabama,Crenshaw County,Joe Biden,DEM,1700,False,6617,0.2569140093698051
28011,Alabama,Cullman County,Joe Biden,DEM,4478,False,41851,0.10699863802537574
28015,Alabama,Dale County,Joe Biden,DEM,5170,False,19738,0.2619313000303982
28018,Alabama,Dallas County,Joe Biden,DEM,12230,True,17864,0.6846171070309002
28023,Alabama,DeKalb County,Joe Biden,DEM,4281,False,29356,0.14583049461779535
28027,Alabama,Elmore County,Joe Biden,DEM,10367,False,41030,0.2526687789422374
28031,Alabama,Escambia County,Joe Biden,DEM,4918,False,15910,0.3091137649277184
28035,Alabama,Etowah County,Joe Biden,DEM,11567,False,47728,0.2423524974857526
28039,Alabama,Fayette County,Joe Biden,DEM,1395,False,8766,0.1591375770020534
28047,Alabama,Franklin County,Joe Biden,DEM,2086,False,12578,0.16584512641119414
28051,Alabama,Geneva County,Joe Biden,DEM,1595,False,12545,0.12714228776404943
28054,Alabama,Greene County,Joe Biden,DEM,3884,True,4775,0.8134031413612566
28058,Alabama,Hale County,Joe Biden,DEM,4687,True,7922,0.5916435243625348
28063,Alabama,Henry County,Joe Biden,DEM,2606,False,9298,0.2802753280275328
28067,Alabama,Houston County,Joe Biden,DEM,12917,False,46173,0.27975223615532885
28071,Alabama,Jackson County,Joe Biden,DEM,3717,False,23636,0.15726011169402607
28074,Alabama,Jefferson County,Joe Biden,DEM,181688,True,325848,0.5575851317178562
28079,Alabama,Lamar County,Joe Biden,DEM,978,False,7193,0.13596552203531212
28083,Alabama,Lauderdale County,Joe Biden,DEM,11915,False,44339,0.26872505018155574
28091,Alabama,Lawrence County,Joe Biden,DEM,3562,False,16031,0.22219449815981535
28095,Alabama,Lee County,Joe Biden,DEM,27860,False,71449,0.38992848045459
28099,Alabama,Limestone County,Joe Biden,DEM,13672,False,49235,0.27768863613283234
28102,Alabama,Lowndes County,Joe Biden,DEM,4972,True,6835,0.7274323335771763
28106,Alabama,Macon County,Joe Biden,DEM,7108,True,8723,0.8148572738736674
28111,Alabama,Madison County,Joe Biden,DEM,87286,False,194767,0.4481560017867503
28114,Alabama,Marengo County,Joe Biden,DEM,5488,True,10900,0.50348623853211
28119,Alabama,Marion County,Joe Biden,DEM,1463,False,13807,0.10596074454986601
28123,Alabama,Marshall County,Joe Biden,DEM,5943,False,39655,0.1498676081200353
28127,Alabama,Mobile County,Joe Biden,DEM,79474,False,183164,0.43389530693804457
28135,Alabama,Monroe County,Joe Biden,DEM,4455,False,10668,0.4176040494938133
28138,Alabama,Montgomery County,Joe Biden,DEM,64529,True,99139,0.6508941990538537
28143,Alabama,Morgan County,Joe Biden,DEM,13234,False,53722,0.24634228062990954
28146,Alabama,Perry County,Joe Biden,DEM,3860,True,5230,0.7380497131931166
28151,Alabama,Pickens County,Joe Biden,DEM,4022,False,9668,0.41601158460901944
28155,Alabama,Pike County,Joe Biden,DEM,5636,False,13841,0.40719601184885484
28159,Alabama,Randolph County,Joe Biden,DEM,2203,False,10837,0.20328504198578942
28162,Alabama,Russell County,Joe Biden,DEM,11228,True,21329,0.5264194289465047
28171,Alabama,Shelby County,Joe Biden,DEM,33268,False,114950,0.28941278816876903
28167,Alabama,St. Clair County,Joe Biden,DEM,7744,False,44441,0.1742535046466101
28178,Alabama,Sumter County,Joe Biden,DEM,4648,True,6291,0.7388332538547131
28183,Alabama,Talladega County,Joe Biden,DEM,13138,False,35663,0.3683930123657572
28187,Alabama,Tallapoosa County,Joe Biden,DEM,5859,False,20991,0.2791196226954409
28191,Alabama,Tuscaloosa County,Joe Biden,DEM,37765,False,90172,0.41881071729583463
28195,Alabama,Walker County,Joe Biden,DEM,4834,False,31170,0.15508501764517163
28199,Alabama,Washington County,Joe Biden,DEM,2258,False,8876,0.254393871113114
28202,Alabama,Wilcox County,Joe Biden,DEM,4048,True,5903,0.6857530069456209
28207,Alabama,Winston County,Joe Biden,DEM,974,False,11284,0.08631690889755406
28307,Alaska,ED 1,Joe Biden,DEM,3477,False,7360,0.4724184782608696
28227,Alaska,ED 10,Joe Biden,DEM,2727,False,11256,0.24227078891257997
28235,Alaska,ED 11,Joe Biden,DEM,3130,False,10686,0.2929066067752199
28243,Alaska,ED 12,Joe Biden,DEM,2957,False,11280,0.26214539007092197
28251,Alaska,ED 13,Joe Biden,DEM,2666,False,7765,0.3433354797166774
28259,Alaska,ED 14,Joe Biden,DEM,4261,False,11534,0.369429512744928
28267,Alaska,ED 15,Joe Biden,DEM,2622,False,5593,0.46880028607187557
28274,Alaska,ED 16,Joe Biden,DEM,4274,True,8170,0.5231334149326805
28282,Alaska,ED 17,Joe Biden,DEM,4136,True,7271,0.5688350983358548
28290,Alaska,ED 18,Joe Biden,DEM,4681,True,7759,0.6032993942518365
28298,Alaska,ED 19,Joe Biden,DEM,3118,True,5338,0.5841139003372049
28395,Alaska,ED 2,Joe Biden,DEM,2104,False,6161,0.3415030027592923
28314,Alaska,ED 20,Joe Biden,DEM,4881,True,7544,0.6470042417815483
28322,Alaska,ED 21,Joe Biden,DEM,5414,True,9482,0.5709765872178865
28331,Alaska,ED 22,Joe Biden,DEM,4553,False,9597,0.4744190892987392
28338,Alaska,ED 23,Joe Biden,DEM,3810,True,7796,0.4887121600820934
28347,Alaska,ED 24,Joe Biden,DEM,4736,False,10484,0.45173597863410914
