LotArea,OverallQual,OverallCond,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SaleCondition,LotShape,GarageType,SalePrice
8450,7,5,1710,2,3,2,Normal,Reg,Attchd,208500
9600,6,8,1262,2,3,2,Normal,Reg,Attchd,181500
11250,7,5,1786,2,3,2,Normal,IR1,Attchd,223500
9550,7,5,1717,1,3,3,Abnorml,IR1,Detchd,140000
14260,8,5,2198,2,4,3,Normal,IR1,Attchd,250000
14115,5,5,1362,1,1,2,Normal,IR1,Attchd,143000
10084,8,5,1694,2,3,2,Normal,Reg,Attchd,307000
10382,7,6,2090,2,3,2,Normal,IR1,Attchd,200000
6120,7,5,1774,2,2,2,Abnorml,Reg,Detchd,129900
7420,5,6,1077,1,2,1,Normal,Reg,Attchd,118000
11200,5,5,1040,1,3,1,Normal,Reg,Detchd,129500
11924,9,5,2324,3,4,3,Partial,IR1,BuiltIn,345000
12968,5,6,912,1,2,1,Normal,IR2,Detchd,144000
10652,7,5,1494,2,3,3,Partial,IR1,Attchd,279500
10920,6,5,1253,1,2,1,Normal,IR1,Attchd,157000
6120,7,8,854,1,2,2,Normal,Reg,Detchd,132000
11241,6,7,1004,1,2,2,Normal,IR1,Attchd,149000
10791,4,5,1296,2,2,2,Normal,Reg,CarPort,90000
13695,5,5,1114,1,3,2,Normal,Reg,Detchd,159000
7560,5,6,1339,1,3,1,Abnorml,Reg,Attchd,139000
14215,8,5,2376,3,4,3,Partial,IR1,BuiltIn,325300
7449,7,7,1108,1,3,1,Normal,Reg,Attchd,139400
9742,8,5,1795,2,3,2,Normal,Reg,Attchd,230000
4224,5,7,1060,1,3,2,Normal,Reg,Attchd,129900
8246,5,8,1060,1,3,1,Normal,IR1,Attchd,154000
14230,8,5,1600,2,3,3,Normal,Reg,Attchd,256300
7200,5,7,900,1,3,2,Normal,Reg,Detchd,134800
11478,8,5,1704,2,3,3,Normal,Reg,Attchd,306000
16321,5,6,1600,1,2,1,Normal,IR1,Attchd,207500
6324,4,6,520,1,1,1,Normal,IR1,Detchd,68500
8500,4,4,1317,1,3,1,Normal,Reg,Detchd,40000
8544,5,6,1228,1,3,1,Normal,IR1,Attchd,149350
11049,8,5,1234,2,3,2,Normal,Reg,Attchd,179900
10552,5,5,1700,1,4,2,Normal,IR1,Attchd,165500
7313,9,5,1561,2,2,2,Normal,Reg,Attchd,277500
13418,8,5,2452,3,4,3,Normal,Reg,BuiltIn,309000
10859,5,5,1097,1,3,2,Normal,Reg,Attchd,145000
8532,5,6,1297,1,3,2,Normal,Reg,Attchd,153000
7922,5,7,1057,1,3,1,Abnorml,Reg,Detchd,109000
6040,4,5,1152,2,2,0,AdjLand,Reg,NA,82000
8658,6,5,1324,2,3,2,Abnorml,Reg,Attchd,160000
16905,5,6,1328,1,2,1,Normal,Reg,Attchd,170000
9180,5,7,884,1,2,2,Normal,IR1,Attchd,144000
9200,5,6,938,1,3,1,Normal,IR1,Detchd,130250
7945,5,6,1150,1,3,1,Normal,Reg,Attchd,141000
7658,9,5,1752,2,2,2,Normal,Reg,Attchd,319900
12822,7,5,2149,1,1,2,Abnorml,IR1,Attchd,239686
11096,8,5,1656,2,3,3,Normal,Reg,Attchd,249700
4456,4,5,1452,2,2,0,Partial,Reg,NA,113000
7742,5,7,955,1,3,1,Normal,Reg,Attchd,127000
13869,6,6,1470,2,3,2,Normal,IR2,Attchd,177000
6240,6,6,1176,1,3,2,Normal,Reg,Detchd,114500
8472,5,5,816,1,2,2,Normal,IR2,CarPort,110000
50271,9,5,1842,0,0,3,Normal,IR1,Attchd,385000
7134,5,5,1360,1,3,2,Normal,Reg,Detchd,130000
10175,6,5,1425,2,3,2,Normal,IR1,Attchd,180500
2645,8,5,1739,2,3,2,Abnorml,Reg,Attchd,172500
11645,7,5,1720,2,3,2,Normal,IR1,Attchd,196500
13682,10,5,2945,3,3,3,Partial,IR2,BuiltIn,438780
7200,5,7,780,1,2,1,Normal,Reg,Detchd,124900
13072,6,5,1158,1,3,2,Partial,Reg,Detchd,158000
7200,5,7,1111,1,3,1,Normal,Reg,Detchd,101000
6442,8,5,1370,2,2,2,Normal,IR1,Attchd,202500
10300,7,6,1710,2,3,2,Normal,IR1,Detchd,140000
9375,7,5,2034,2,3,2,Normal,Reg,Attchd,219500
9591,8,5,2473,2,4,3,Normal,Reg,BuiltIn,317000
19900,7,5,2207,2,3,2,Normal,Reg,Attchd,180000
10665,7,5,1479,2,3,2,Normal,IR1,Attchd,226000
4608,4,6,747,1,2,1,Normal,Reg,Attchd,80000
15593,7,4,2287,2,3,2,Normal,Reg,Attchd,225000
13651,7,6,2223,2,3,2,Normal,IR1,Attchd,244000
7599,4,6,845,1,2,2,Normal,Reg,Detchd,129500
