,item_sku_id,dc_id,date,quantity,vendibility,original_price,discount
44200,2,1,2017-10-11,1.0,1.0,0.00237529691211,10.0
42736,2,0,2017-02-06,1.0,1.0,0.00212526565821,10.0
42735,2,0,2016-05-30,0.0,1.0,,
42734,2,0,2016-05-21,0.0,1.0,,
42733,2,5,2017-09-05,0.0,1.0,,
42732,2,3,2017-02-09,0.0,1.0,,
42731,2,3,2016-09-01,0.0,1.0,,
42730,2,4,2017-12-06,0.0,1.0,,
42729,2,1,2016-08-17,0.0,1.0,,
29659,2,1,2017-10-26,0.0,1.0,,
29660,2,4,2016-12-08,0.0,1.0,,
29661,2,4,2017-02-11,6.0,1.0,0.00212526565821,6.66470588235
29662,2,4,2017-07-02,0.0,1.0,,
29663,2,3,2016-05-12,0.0,1.0,,
29664,2,3,2017-03-06,0.0,1.0,,
29665,2,3,2017-05-02,0.0,1.0,,
42737,2,0,2017-05-06,0.0,1.0,,
29666,2,5,2017-12-05,0.0,0.0,,
42738,2,0,2017-09-01,0.0,1.0,,
42740,2,0,2017-10-30,3.0,1.0,0.00237529691211,6.48947368421
8256,2,3,2017-09-23,0.0,1.0,,
8255,2,3,2017-09-18,0.0,1.0,,
8254,2,3,2017-05-26,0.0,1.0,,
8253,2,4,2017-04-01,0.0,1.0,,
8252,2,4,2016-12-11,0.0,1.0,,
8251,2,1,2017-01-30,0.0,1.0,,
8250,2,1,2016-12-24,1.0,1.0,0.00212526565821,10.0
8249,2,1,2016-05-18,1.0,1.0,0.00212526565821,9.70588235294
42747,2,2,2017-10-25,0.0,1.0,,
42746,2,2,2017-09-05,0.0,1.0,,
42745,2,2,2017-07-10,2.0,1.0,0.00237529691211,7.89473684211
42744,2,2,2016-08-16,0.0,1.0,,
42743,2,2,2016-04-03,0.0,1.0,,
42742,2,2,2016-03-21,2.0,1.0,0.00212526565821,6.17647058824
42741,2,2,2016-02-21,0.0,1.0,,
42739,2,0,2017-10-29,0.0,1.0,,
8257,2,0,2017-02-23,1.0,1.0,0.00212526565821,10.0
29667,2,0,2016-10-19,1.0,1.0,0.00212526565821,5.88235294118
29669,2,0,2017-05-10,2.0,1.0,0.00212526565821,10.0
29852,2,1,2016-10-14,0.0,0.0,,
29853,2,1,2017-10-07,0.0,1.0,,
29854,2,4,2017-02-26,0.0,1.0,,
29855,2,4,2017-05-23,1.0,1.0,0.00212526565821,10.0
29856,2,4,2017-07-26,0.0,1.0,,
29857,2,3,2017-10-17,0.0,1.0,,
29858,2,0,2016-04-08,0.0,1.0,,
29859,2,0,2016-09-25,0.0,1.0,,
