,item_sku_id,dc_id,date,quantity,vendibility,original_price,discount
21115,38,3,2016-01-01,0.0,1.0,,
8883,32,3,2016-01-01,0.0,1.0,,
67912,36,2,2016-01-01,0.0,0.0,,
28683,26,3,2016-01-01,4.0,1.0,0.0361295161895,9.30795847751
19860,13,2,2016-01-01,0.0,1.0,,
21991,8,1,2016-01-01,1.0,0.0,0.00121265158145,10.0
14474,28,3,2016-01-01,2.0,1.0,0.0112389048631,4.4382647386
20597,8,0,2016-01-01,1.0,1.0,0.00121265158145,10.0
30440,28,0,2016-01-01,8.0,1.0,0.0112389048631,4.4382647386
65725,6,1,2016-01-01,0.0,0.0,,
50059,32,1,2016-01-01,0.0,1.0,,
46803,6,3,2016-01-01,0.0,1.0,,
50285,27,3,2016-01-01,0.0,1.0,,
24094,32,0,2016-01-01,0.0,1.0,,
38649,26,2,2016-01-01,4.0,1.0,0.0361295161895,9.30795847751
65271,21,3,2016-01-01,0.0,1.0,,
46238,28,1,2016-01-01,7.0,1.0,0.0112389048631,4.4382647386
30965,2,2,2016-01-01,0.0,1.0,,
48077,27,1,2016-01-01,0.0,1.0,,
35562,22,1,2016-01-01,1.0,1.0,0.00350043755469,10.0
33053,21,2,2016-01-01,0.0,1.0,,
25904,37,0,2016-01-01,14.0,1.0,0.00123765470684,10.0
71208,37,3,2016-01-01,10.0,1.0,0.00123765470684,10.0
58438,37,2,2016-01-01,7.0,1.0,0.00123765470684,10.0
9274,22,3,2016-01-01,1.0,1.0,0.00350043755469,10.0
2286,26,1,2016-01-01,3.0,1.0,0.0361295161895,9.30795847751
21172,22,2,2016-01-01,0.0,1.0,,
24198,21,0,2016-01-01,1.0,1.0,0.00373796724591,6.65551839465
47279,36,1,2016-01-01,0.0,1.0,,
68883,13,3,2016-01-01,1.0,1.0,0.00225028128516,10.0
15421,13,0,2016-01-01,3.0,1.0,0.00225028128516,10.0
63531,6,0,2016-01-01,0.0,1.0,,
37331,8,2,2016-01-01,0.0,0.0,,
70283,13,1,2016-01-01,0.0,1.0,,
57483,28,2,2016-01-01,5.0,1.0,0.00741342667833,6.29005059022
59492,23,1,2016-01-01,1.0,0.0,0.0108763595449,10.0
18147,2,0,2016-01-01,0.0,1.0,,
