,item_sku_id,dc_id,date,quantity,vendibility,original_price,discount,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd,brand_code
48893,32,3,2017-12-17,3.0,1.0,0.00236279534942,9.6455026455,7,30,168,400
52173,11,1,2017-12-17,0.0,1.0,,,7,30,540,1264
33691,28,2,2017-12-17,0.0,0.0,,,1,4,18,648
71586,15,2,2017-12-17,4.0,0.0,0.0336292036505,10.0,1,5,21,285
46267,20,4,2017-12-17,7.0,1.0,0.000250031253907,5.0,7,30,539,1143
9846,19,4,2017-12-17,0.0,1.0,,,1,4,14,738
71600,15,3,2017-12-17,0.0,0.0,,,1,5,21,285
9660,19,5,2017-12-17,0.0,1.0,,,1,4,14,738
67454,35,5,2017-12-17,0.0,0.0,,,1,7,32,158
63541,37,5,2017-12-17,2.0,1.0,0.00182522815352,6.50684931507,7,29,149,148
51798,11,3,2017-12-17,0.0,1.0,,,7,30,540,1264
14095,12,5,2017-12-17,6.0,0.0,0.00612576572072,9.34693877551,7,31,151,367
35062,28,0,2017-12-17,2.0,1.0,0.0112389048631,5.55061179088,1,4,18,648
10164,19,0,2017-12-17,8.0,1.0,0.0123765470684,9.92828282828,1,4,14,738
35358,28,1,2017-12-17,1.0,0.0,0.0112389048631,5.55061179088,1,4,18,648
21491,33,5,2017-12-17,0.0,0.0,,,1,4,18,588
9461,19,1,2017-12-17,1.0,1.0,0.0123765470684,10.0,1,4,14,738
11227,31,3,2017-12-17,2.0,1.0,0.00423802975372,8.52507374631,7,30,166,90
65104,37,3,2017-12-17,26.0,1.0,0.00140392549069,7.55120213713,7,29,149,148
60917,26,5,2017-12-17,0.0,1.0,,,1,3,6,332
25454,40,0,2017-12-17,4.0,1.0,0.016127015877,7.67441860465,1,4,13,1069
68701,22,0,2017-12-17,2.0,1.0,0.00350043755469,6.96428571429,7,29,144,485
61814,26,3,2017-12-17,0.0,1.0,,,1,3,6,332
48716,32,1,2017-12-17,3.0,1.0,0.00236279534942,10.0,7,30,168,400
25985,40,5,2017-12-17,0.0,1.0,,,1,4,13,1069
56971,21,2,2017-12-17,2.0,0.0,0.00373796724591,6.35451505017,1,4,52,399
11195,31,5,2017-12-17,2.0,1.0,0.00423802975372,8.52507374631,7,30,166,90
71573,15,5,2017-12-17,2.0,0.0,0.0336292036505,10.0,1,5,21,285
44437,38,0,2017-12-17,1.0,1.0,0.000333791723965,10.0,7,31,175,874
33977,28,3,2017-12-17,0.0,0.0,,,1,4,18,648
51779,11,5,2017-12-17,0.0,1.0,,,7,30,540,1264
11410,17,3,2017-12-17,0.0,1.0,,,7,29,144,394
55848,21,0,2017-12-17,6.0,1.0,0.00373796724591,7.84280936455,1,4,52,399
64350,37,0,2017-12-17,77.0,1.0,0.00139892486561,7.56925826631,7,29,149,148
20314,24,0,2017-12-17,2.0,1.0,0.0137392174022,6.36032757052,7,31,314,1194
65455,37,1,2017-12-17,64.0,1.0,0.00121265158145,8.26804123711,7,29,149,148
68985,22,5,2017-12-17,0.0,1.0,,,7,29,144,485
22517,14,0,2017-12-17,0.0,1.0,,,7,29,149,749
62265,26,1,2017-12-17,0.0,1.0,,,1,3,6,332
11211,31,4,2017-12-17,2.0,1.0,0.00423802975372,8.52507374631,7,30,166,90
64353,37,2,2017-12-17,10.0,1.0,0.00182522815352,6.50684931507,7,29,149,148
56760,21,1,2017-12-17,1.0,1.0,0.00373796724591,10.0,1,4,52,399
62182,26,0,2017-12-17,3.0,1.0,0.0823852981623,8.63429438543,1,3,6,332
67520,35,1,2017-12-17,6.0,1.0,0.0018752344043,10.0,1,7,32,158
10520,19,2,2017-12-17,1.0,1.0,0.0123765470684,10.0,1,4,14,738
13955,12,4,2017-12-17,2.0,1.0,0.00612576572072,9.34693877551,7,31,151,367
11028,31,2,2017-12-17,14.0,1.0,0.00432679084886,8.35018780699,7,30,166,90
62129,26,2,2017-12-17,1.0,1.0,0.0823852981623,8.63429438543,1,3,6,332
25451,40,4,2017-12-17,2.0,0.0,0.016127015877,7.67441860465,1,4,13,1069
55663,21,5,2017-12-17,0.0,1.0,,,1,4,52,399
9327,16,4,2017-12-17,0.0,1.0,,,1,5,21,534
36047,28,4,2017-12-17,0.0,1.0,,,1,4,18,648
29281,39,4,2017-12-17,10.0,1.0,0.0198774846856,8.39622641509,1,5,21,738
32497,25,0,2017-12-17,0.0,1.0,,,7,30,170,783
65082,37,4,2017-12-17,41.0,1.0,0.00127515939492,8.04901960784,7,29,149,148
67356,34,2,2017-12-17,0.0,1.0,,,7,30,166,207
32488,25,4,2017-12-17,0.0,1.0,,,7,30,170,783
33378,25,3,2017-12-17,0.0,1.0,,,7,30,170,783
32815,25,1,2017-12-17,2.0,1.0,0.00600075009376,8.10416666667,7,30,170,783
21326,33,1,2017-12-17,3.0,0.0,0.0373796724591,6.98996655518,1,4,18,588
28596,39,1,2017-12-17,38.0,1.0,0.0197987248406,7.83986866199,1,5,21,738
29275,39,3,2017-12-17,8.0,1.0,0.0198774846856,8.15283018868,1,5,21,738
13998,12,3,2017-12-17,3.0,1.0,0.00612576572072,9.34693877551,7,31,151,367
54166,21,3,2017-12-17,0.0,1.0,,,1,4,52,399
22861,14,5,2017-12-17,1.0,1.0,0.00198774846856,10.0,7,29,149,749
21316,33,4,2017-12-17,1.0,0.0,0.0373796724591,7.32441471572,1,4,18,588
33340,25,5,2017-12-17,0.0,1.0,,,7,30,170,783
9578,19,3,2017-12-17,6.0,1.0,0.0123765470684,10.0,1,4,14,738
32535,25,2,2017-12-17,1.0,1.0,0.00600075009376,8.3125,7,30,170,783
29100,39,2,2017-12-17,13.0,1.0,0.0198774846856,7.87106918239,1,5,21,738
9307,16,3,2017-12-17,0.0,0.0,,,1,5,21,534
71646,15,1,2017-12-17,3.0,0.0,0.0336292036505,10.0,1,5,21,285
52182,11,2,2017-12-17,0.0,0.0,,,7,30,540,1264
25668,40,1,2017-12-17,2.0,1.0,0.016127015877,7.67441860465,1,4,13,1069
41201,27,0,2017-12-17,0.0,1.0,,,1,7,32,538
12692,17,0,2017-12-17,4.0,1.0,0.00072509063633,10.0,7,29,144,394
11090,31,0,2017-12-17,10.0,1.0,0.00436304538067,8.28080229226,7,30,166,90
44904,38,2,2017-12-17,0.0,0.0,,,7,31,175,874
46051,20,2,2017-12-17,33.0,1.0,0.000250031253907,5.0,7,30,539,1143
40613,27,5,2017-12-17,0.0,0.0,,,1,7,32,538
70779,22,1,2017-12-17,0.0,1.0,,,7,29,144,485
66284,34,1,2017-12-17,2.0,1.0,0.000487560945118,5.10256410256,7,30,166,207
31644,36,4,2017-12-17,0.0,1.0,,,1,5,21,284
52956,29,0,2017-12-17,0.0,1.0,,,7,29,148,1450
22733,14,2,2017-12-17,0.0,1.0,,,7,29,149,749
17635,18,3,2017-12-17,1.0,1.0,0.0273784223028,10.0,1,3,11,39
32083,36,0,2017-12-17,1.0,1.0,0.237404675584,3.94418114797,1,5,21,284
10840,31,1,2017-12-17,3.0,1.0,0.00402925365671,8.96680111697,7,30,166,90
9375,16,0,2017-12-17,3.0,1.0,0.0173771721465,10.0,1,5,21,534
45819,20,5,2017-12-17,4.0,1.0,0.000250031253907,5.0,7,30,539,1143
42214,27,1,2017-12-17,0.0,0.0,,,1,7,32,538
41056,27,2,2017-12-17,0.0,0.0,,,1,7,32,538
59130,23,4,2017-12-17,0.0,1.0,,,7,30,170,958
11548,17,5,2017-12-17,0.0,1.0,,,7,29,144,394
39150,30,1,2017-12-17,0.0,1.0,,,7,29,144,1125
19954,24,3,2017-12-17,0.0,1.0,,,7,31,314,1194
18243,18,5,2017-12-17,1.0,1.0,0.0273784223028,10.0,1,3,11,39
32052,36,5,2017-12-17,1.0,1.0,0.237404675584,3.94418114797,1,5,21,284
67657,35,3,2017-12-17,0.0,1.0,,,1,7,32,158
66497,34,5,2017-12-17,1.0,1.0,0.000487560945118,5.10256410256,7,30,166,207
66227,34,4,2017-12-17,1.0,1.0,0.000487560945118,5.10256410256,7,30,166,207
53665,29,4,2017-12-17,0.0,0.0,,,7,29,148,1450
46114,20,3,2017-12-17,6.0,1.0,0.000250031253907,5.0,7,30,539,1143
45866,20,0,2017-12-17,25.0,1.0,0.000250031253907,5.0,7,30,539,1143
31110,36,1,2017-12-17,3.0,1.0,0.237404675584,3.94418114797,1,5,21,284
9369,16,2,2017-12-17,1.0,1.0,0.0173771721465,10.0,1,5,21,534
7877,13,3,2017-12-17,9.0,1.0,0.00225028128516,8.77777777778,7,29,149,518
38993,30,4,2017-12-17,0.0,1.0,,,7,29,144,1125
22469,14,4,2017-12-17,0.0,0.0,,,7,29,149,749
